file,name,name_length,is_class,has_underscore,label
github_repos\fastapi\docs_src\dependencies\tutorial002_an_py39.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial002_an_py39.py,CommonQueryParams,17,True,False,unused
github_repos\fastapi\docs_src\dependencies\tutorial002_py310.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial002_py310.py,CommonQueryParams,17,True,False,unused
github_repos\fastapi\docs_src\dependencies\tutorial003.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial003.py,CommonQueryParams,17,True,False,unused
github_repos\fastapi\docs_src\dependencies\tutorial003_an.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial003_an.py,CommonQueryParams,17,True,False,unused
github_repos\fastapi\docs_src\dependencies\tutorial003_an_py310.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial003_an_py310.py,CommonQueryParams,17,True,False,unused
github_repos\fastapi\docs_src\dependencies\tutorial003_an_py39.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial003_an_py39.py,CommonQueryParams,17,True,False,unused
github_repos\fastapi\docs_src\dependencies\tutorial003_py310.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial003_py310.py,CommonQueryParams,17,True,False,unused
github_repos\fastapi\docs_src\dependencies\tutorial004.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial004.py,CommonQueryParams,17,True,False,unused
github_repos\fastapi\docs_src\dependencies\tutorial004_an.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial004_an.py,CommonQueryParams,17,True,False,unused
github_repos\fastapi\docs_src\dependencies\tutorial004_an_py310.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial004_an_py310.py,CommonQueryParams,17,True,False,unused
github_repos\fastapi\docs_src\dependencies\tutorial004_an_py39.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial004_an_py39.py,CommonQueryParams,17,True,False,unused
github_repos\fastapi\docs_src\dependencies\tutorial004_py310.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial004_py310.py,CommonQueryParams,17,True,False,unused
github_repos\fastapi\docs_src\dependencies\tutorial005.py,query_extractor,15,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial005.py,query_or_cookie_extractor,25,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial005_an.py,query_extractor,15,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial005_an.py,query_or_cookie_extractor,25,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial005_an_py310.py,query_extractor,15,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial005_an_py310.py,query_or_cookie_extractor,25,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial005_an_py39.py,query_extractor,15,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial005_an_py39.py,query_or_cookie_extractor,25,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial005_py310.py,query_extractor,15,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial005_py310.py,query_or_cookie_extractor,25,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008b.py,get_username,12,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008b.py,get_item,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008b.py,OwnerError,10,True,False,used
github_repos\fastapi\docs_src\dependencies\tutorial008b_an.py,get_username,12,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008b_an.py,get_item,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008b_an.py,OwnerError,10,True,False,used
github_repos\fastapi\docs_src\dependencies\tutorial008b_an_py39.py,get_username,12,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008b_an_py39.py,get_item,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008b_an_py39.py,OwnerError,10,True,False,used
github_repos\fastapi\docs_src\dependencies\tutorial008c.py,get_username,12,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008c.py,get_item,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008c.py,InternalError,13,True,False,used
github_repos\fastapi\docs_src\dependencies\tutorial008c_an.py,get_username,12,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008c_an.py,get_item,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008c_an.py,InternalError,13,True,False,used
github_repos\fastapi\docs_src\dependencies\tutorial008c_an_py39.py,get_username,12,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008c_an_py39.py,get_item,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008c_an_py39.py,InternalError,13,True,False,used
github_repos\fastapi\docs_src\dependencies\tutorial008d.py,get_username,12,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008d.py,get_item,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008d.py,InternalError,13,True,False,used
github_repos\fastapi\docs_src\dependencies\tutorial008d_an.py,get_username,12,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008d_an.py,get_item,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008d_an.py,InternalError,13,True,False,used
github_repos\fastapi\docs_src\dependencies\tutorial008d_an_py39.py,get_username,12,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008d_an_py39.py,get_item,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial008d_an_py39.py,InternalError,13,True,False,used
github_repos\fastapi\docs_src\dependencies\tutorial010.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial010.py,__enter__,9,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial010.py,__exit__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial010.py,MySuperContextManager,21,True,False,used
github_repos\fastapi\docs_src\dependencies\tutorial011.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial011.py,__call__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial011.py,FixedContentQueryChecker,24,True,False,used
github_repos\fastapi\docs_src\dependencies\tutorial011_an.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial011_an.py,__call__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial011_an.py,FixedContentQueryChecker,24,True,False,used
github_repos\fastapi\docs_src\dependencies\tutorial011_an_py39.py,__init__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial011_an_py39.py,__call__,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial011_an_py39.py,FixedContentQueryChecker,24,True,False,used
github_repos\fastapi\docs_src\dependencies\tutorial013_an_py310.py,get_session,11,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial013_an_py310.py,get_user,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial013_an_py310.py,generate_stream,15,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial013_an_py310.py,generate,8,False,False,used
github_repos\fastapi\docs_src\dependencies\tutorial013_an_py310.py,User,4,True,False,used
github_repos\fastapi\docs_src\dependencies\tutorial014_an_py310.py,get_session,11,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial014_an_py310.py,get_user,8,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial014_an_py310.py,generate_stream,15,False,True,used
github_repos\fastapi\docs_src\dependencies\tutorial014_an_py310.py,generate,8,False,False,used
github_repos\fastapi\docs_src\dependencies\tutorial014_an_py310.py,User,4,True,False,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001.py,test_override_in_items,22,False,True,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001.py,test_override_in_items_with_q,29,False,True,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001.py,test_override_in_items_with_params,34,False,True,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001_an.py,test_override_in_items,22,False,True,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001_an.py,test_override_in_items_with_q,29,False,True,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001_an.py,test_override_in_items_with_params,34,False,True,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001_an_py310.py,test_override_in_items,22,False,True,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001_an_py310.py,test_override_in_items_with_q,29,False,True,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001_an_py310.py,test_override_in_items_with_params,34,False,True,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001_an_py39.py,test_override_in_items,22,False,True,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001_an_py39.py,test_override_in_items_with_q,29,False,True,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001_an_py39.py,test_override_in_items_with_params,34,False,True,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001_py310.py,test_override_in_items,22,False,True,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001_py310.py,test_override_in_items_with_q,29,False,True,used
github_repos\fastapi\docs_src\dependency_testing\tutorial001_py310.py,test_override_in_items_with_params,34,False,True,used
github_repos\fastapi\docs_src\encoder\tutorial001.py,update_item,11,False,True,used
github_repos\fastapi\docs_src\encoder\tutorial001.py,Item,4,True,False,used
github_repos\fastapi\docs_src\encoder\tutorial001_py310.py,update_item,11,False,True,used
github_repos\fastapi\docs_src\encoder\tutorial001_py310.py,Item,4,True,False,used
github_repos\fastapi\docs_src\events\tutorial002.py,shutdown_event,14,False,True,used
github_repos\fastapi\docs_src\events\tutorial003.py,fake_answer_to_everything_ml_model,34,False,True,used
github_repos\fastapi\docs_src\extending_openapi\tutorial001.py,custom_openapi,14,False,True,used
github_repos\fastapi\docs_src\extra_models\tutorial001.py,fake_password_hasher,20,False,True,used
